Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track
The Unwind Mix,Benny Dayal,2022-05-07,INY092200047,2945,25,6355,1,12,67,490930106,2737821,182529,26576921,266064027,1252385,28,5953,86,15,237407,17,12735768,7818,3265268,854584,0
Fuck Niggaz,YoungBoy Never Broke Again,2024-02-06,USUG12400657,2937,25,11393565,3743,3570364,67,8173541,207558,182529,26576921,266064027,1879137711,1,8,1,15,237407,17,2623375,880,4469045,169424,1
Exis,Roy Woods,2015-07-31,USWB11508706,2932,25,497826683,86867,18364841,64,83526342,699022,100693,22169211,178226220,448347,4,231,8,8,8559,2,12735768,7818,137005114,1308034,1
Entre Nosotros,Tiago PZK,2021-07-08,ARGT32100004,2935,25,472107491,65462,8388402,63,221630313,1721936,121905,37557078,295962547,97746040,25,5418,31,4,19286,7,1413561,2071,3265268,1367342,0
Kamikaze,Eminem,2018-08-31,USUM71813334,2944,25,709560621,98164,26325717,68,478624672,5771617,3776,1994779,19887287,5774727,48,1798,15,15,282597,19,138039395,45377,3163011,1461359,1
Casanova,Soolking,2023-12-07,FRPZ92346900,2940,25,68705759,12259,10918400,73,31447677,196411,182529,1130,111700,69933889,23,9271,86,32,1541609,20,12735768,7818,3265268,465456,0
en dormir sin Madrid,Bizarrap,2023-10-03,UYB282301044,2938,25,188131570,21455,9973821,67,23791636,267266,3639,867907,13208632,1485906,3,2131,86,6,28215,20,21481,118,3265268,205456,0
Bandana,Fireboy DML,2022-07-13,USUYG1433884,2934,25,118971684,31855,4511954,63,14545093,88499,1215978,15330860,169166011,97746040,53,8313,6,6,462602,29,2603667,748,3265268,3424214,1
Beatopia,beabadoobee,2022-07-15,GBK3W2202093,2936,25,230129740,56091,10688364,72,34590747,614842,93552,53961135,369833975,4625790,13,25825,131,3,16868,17,479950,1776,3697209,409448,0
F.N.F. (Let's Go) - Single,Hitkidd,2022-05-03,QZRD92201643,2948,25,68460285,16340,2772856,54,107349472,1053855,75908,44299693,301331608,475299208,21,168821,976,1,891,30,12735768,7818,8529821,676048,1
Falling Angel,HCTM,2022-08-13,SGB502232845,2942,25,72997,79,42003,14,32345,813,2800259,54293951,1159454840,97746040,28,5953,86,15,237407,17,12735768,7818,3265268,10193,0
Sofia,Clairo,2019-07-26,US4HB1900086,2946,25,728920951,143829,36926488,74,168855750,2336018,107125,55770176,313505897,72209,75,37776,179,20,128326,63,9827957,20739,3265268,1829791,0
Speed Drive (From Barbie The Album),Charli xcx,2023-06-29,USAT22306163,2943,25,222975612,22763,17412929,67,22571591,343660,163194,71994032,770931522,13940,28,20572,821,12,221955,17,7051002,3762,3265268,854584,0
Boy Meets World,Sleepy Hallow,2023-09-15,USRC12202650,2939,25,63607535,28203,6565433,67,7769494,107161,7102,2436874,21062791,97746040,6,9892,441,14,181610,20,2021815,746,3265268,288746,1
Euphoria (Original Score from the HBO Series),Labrinth,2019-10-04,USQX91902499,2949,25,321892912,74664,17317980,62,71926168,1129180,3600000,905260724,11338513351,2223763,16,285,162,11,38455,3,1993633,4777,3265268,2306775,0
